Barrios
"BUENA ESPERANZA"
"CARMEN DEL SIDCAY"
"CENTRO PARROQUIAL"
"CORAZÓN DE JESÚS"
"DOLOROSA DE MACHANGARA"
"EL ARENAL"
"EL CISNE"
"EL EJECUTIVO"
"EL PROGRESO"
"EL QUINCHE"
"FLOR DEL CAMINO"
"HUAJIBAMBA CHICO"
"HUAJIBAMBA LA MERCED"
"ISAAC CHICO"
"JESÚS DEL GRAN PODER"
"LA ASUNCIÓN"
"LA DOLOROSA"
"LA FLORIDA"
"LA PAZ"
"LA UNION"
"LA Y"
"LOS ANGELES"
"LOS CIPRESES"
"LOS PINOS"
"MARIA AUXILIADORA"
"MIGUEL CORDERO"
"MOLINOPAMBA ALTO"
"MOLINOPAMBA BAJO"
"PERPETUO SOCORRO"
"SAN ANTONIO"
"SAN FRANCISCO"
"SAN JACINTO"
"SAN JOSÉ DE LA PLAYA"
"SAN MARTIN"
"SAN MIGUEL"
"SANTA MARIA REINA"
"SANTA MARIANITA"
"SEÑOR DE BURGOS"
"SIMÓN BOLIVAR"
"VIRGEN DE LA NUBE"
