NOMBRE;BARRIO;TIPO;ESTADO;Numero
"CANCHA VIRGEN DE LA NUBE";"VIRGEN DE LA NUBE";"ESPACIO PÚBLICO";"BUENO";"40"
"CANCHA BARRIO LOS ÁNGELES";"LOS ANGELES";"ESPACIO PÚBLICO";"BUENO";"22"
"CANCHA BARRIO EL ARENAL";"EL ARENAL";"ESPACIO PÚBLICO";"BUENO";"6"
"CANCHA BARRIO SAN MIGUEL";"SAN MIGUEL";"ESPACIO PÚBLICO";"BUENO";"35"
"PARQUE BARRIO SAN MARTIN";"SAN MARTIN";"ESPACIO PÚBLICO";"REGULAR";"34"
"PARQUE BARRIO MIGUEL CORDERO";"MIGUEL CORDERO";"ESPACIO PÚBLICO";"BUENO";"26"
"CANCHA";"HUAJIBAMBA LA MERCED";"ESPACIO PÚBLICO";"BUENO";"13"
"PARQUE BUENA ESPERANZA";"LA UNION";"ESPACIO PÚBLICO";"BUENO";"20"
"PARQUE LA DOLOROSA DE MACHÁNGARA";"LA DOLOROSA";"ESPACIO PÚBLICO";"MALO";"17"
"PARQUE SEÑOR DE BURGOS";"SEÑOR DE BURGOS";"ESPACIO PÚBLICO";"BUENO";"38"
"PARQUE CENTRAL DE RICAURTE";"CENTRO PARROQUIAL";"ESPACIO PÚBLICO";"BUENO";"3"
"PARQUE CIBV";"CENTRO PARROQUIAL";"ESPACIO PÚBLICO";"BUENO";"3"
"PARQUE SAN FRANCISCO";"SAN FRANCISCO";"ESPACIO PÚBLICO";"REGULAR";"31"
"SIMÓN BOLÍVAR";"SIMÓN BOLIVAR";"ESPACIO PÚBLICO";"BUENO";"39"
"ESTADIO RICAURTE";"SEÑOR DE BURGOS";"ESPACIO PÚBLICO";"REGULAR";"38"
