CÓDIGO;DESCRIPCIÓN
111;CULTIVO DE CEREALES (EXCEPTO ARROZ), LEGUMBRES Y SEMILLAS OLEAGINOSAS.
112;CULTIVO DE ARROZ.
113;CULTIVO DE HORTALIZAS Y MELONES, RAÍCES Y TUBÉRCULOS.
114;CULTIVO DE CAÑA DE AZÚCAR.
115;CULTIVO DE TABACO.
116;CULTIVO DE PLANTAS DE FIBRAS.
119;CULTIVO DE OTRAS PLANTAS NO PERENNES.
121;CULTIVO DE UVAS.
122;CULTIVO DE FRUTAS TROPICALES Y SUBTROPICALES.
123;CULTIVO DE CÍTRICOS.
124;CULTIVO DE FRUTAS CON HUESO Y CON PEPA.
125;CULTIVO DE OTROS FRUTOS Y NUECES DE ÁRBOLES Y ARBUSTOS.
126;CULTIVO DE FRUTOS OLEAGINOSOS.
127;CULTIVO DE PLANTAS CON LAS QUE SE PREPARAN BEBIDAS.
128;CULTIVO DE ESPECIAS Y DE PLANTAS AROMÁTICAS, MEDICINALES Y FARMACÉUTICAS.
129;CULTIVO DE OTRAS PLANTAS PERENNES.
130;PROPAGACIÓN DE PLANTAS.
141;CRÍA DE GANADO BOVINO Y BÚFALOS.
142;CRÍA DE CABALLOS Y OTROS EQUINOS.
143;CRÍA DE CAMELLOS Y OTROS CAMÉLIDOS.
144;CRÍA DE OVEJAS Y CABRAS.
145;CRÍA DE CERDOS.
146;CRÍA DE AVES DE CORRAL.
149;CRÍA DE OTROS ANIMALES.
150;CULTIVO DE PRODUCTOS AGRÍCOLAS EN COMBINACIÓN CON LA CRÍA DE ANIMALES (EXPLOTACIÓN MIXTA).
161;ACTIVIDADES DE APOYO A LA AGRICULTURA.
162;ACTIVIDADES DE APOYO A LA GANADERÍA.
163;ACTIVIDADES POSCOSECHA.
164;TRATAMIENTO DE SEMILLAS PARA PROPAGACIÓN.
170;CAZA ORDINARIA, MEDIANTE TRAMPAS Y ACTIVIDADES DE SERVICIOS CONEXAS.
210;SILVICULTURA Y OTRAS ACTIVIDADES FORESTALES.
220;EXTRACCIÓN DE MADERA.
230;RECOLECCIÓN DE PRODUCTOS FORESTALES DISTINTOS DE LA MADERA.
240;SERVICIOS DE APOYO A LA SILVICULTURA.
311;PESCA MARINA.
312;PESCA DE AGUA DULCE.
321;ACUICULTURA MARINA.
322;ACUICULTURA DE AGUA DULCE.
510;EXTRACCIÓN DE CARBÓN DE PIEDRA.
520;EXTRACCIÓN DE LIGNITO.
610;EXTRACCIÓN DE PETRÓLEO CRUDO.
620;EXTRACCIÓN DE GAS NATURAL.
710;EXTRACCIÓN DE MINERALES DE HIERRO.
721;EXTRACCIÓN DE MINERALES DE URANIO Y TORIO.
729;EXTRACCIÓN DE OTROS MINERALES METALÍFEROS NO FERROSOS.
810;EXTRACCIÓN DE PIEDRA, ARENA Y ARCILLA.
891;EXTRACCIÓN DE MINERALES PARA LA FABRICACIÓN DE ABONOS Y PRODUCTOS QUÍMICOS.
892;EXTRACCIÓN DE TURBA.
893;EXTRACCIÓN DE SAL.
899;EXPLOTACIÓN DE OTRAS MINAS Y CANTERAS N.C.P.
910;ACTIVIDADES DE APOYO PARA LA EXTRACCIÓN DE PETRÓLEO Y GAS NATURAL.
990;ACTIVIDADES DE APOYO PARA LA EXPLOTACIÓN DE OTRAS MINAS Y CANTERAS.
1010;ELABORACIÓN Y CONSERVACIÓN DE CARNE.
1020;ELABORACIÓN Y CONSERVACIÓN DE PESCADOS, CRUSTÁCEOS Y MOLUSCOS.
1030;ELABORACIÓN Y CONSERVACIÓN DE FRUTAS, LEGUMBRES Y HORTALIZAS.
