Nro.;SECTOR ANONIMIZADOS;"PARROQUIA ";NOMBRE;POBLACIÓN TOTAL;AREA__Ha_;DENSIDAD;SECTORES
1;10162999001;10162;"RICAURTE";143;22;6,6;"SECTORES DISPERSOS"
2;10162999002;10162;"RICAURTE";261;14;18,72;"SECTORES DISPERSOS"
3;10162999003;10162;"RICAURTE";250;57;4,4;"SECTORES DISPERSOS"
4;10162999004;10162;"RICAURTE";216;33;6,49;"SECTORES DISPERSOS"
5;10162999005;10162;"RICAURTE";219;48;4,55;"SECTORES DISPERSOS"
6;10162999006;10162;"RICAURTE";187;47;4;"SECTORES DISPERSOS"
7;10162999007;10162;"RICAURTE";265;30;8,98;"SECTORES DISPERSOS"
8;10162999008;10162;"RICAURTE";217;29;7,43;"SECTORES DISPERSOS"
9;10162999009;10162;"RICAURTE";238;22;10,8;"SECTORES DISPERSOS"
10;10162999010;10162;"RICAURTE";312;33;9,38;"SECTORES DISPERSOS"
11;10162999011;10162;"RICAURTE";271;7;36,69;"SECTORES DISPERSOS"
12;10162999012;10162;"RICAURTE";214;17;12,35;"SECTORES DISPERSOS"
13;10162999013;10162;"RICAURTE";266;44;6,07;"SECTORES DISPERSOS"
14;10162999014;10162;"RICAURTE";282;43;6,58;"SECTORES DISPERSOS"
15;10162999015;10162;"RICAURTE";307;17;17,74;"SECTORES DISPERSOS"
16;10162999016;10162;"RICAURTE";159;14;11,22;"SECTORES DISPERSOS"
17;10162999017;10162;"RICAURTE";236;9;24,87;"SECTORES DISPERSOS"
18;10162999018;10162;"RICAURTE";194;5;40,76;"SECTORES DISPERSOS"
19;10162999019;10162;"RICAURTE";243;10;23,67;"SECTORES DISPERSOS"
20;10162999020;10162;"RICAURTE";218;5;47,35;"SECTORES DISPERSOS"
21;10162999021;10162;"RICAURTE";284;12;23,32;"SECTORES DISPERSOS"
22;10162999022;10162;"RICAURTE";194;9;21,64;"SECTORES DISPERSOS"
23;10162999023;10162;"RICAURTE";177;9;19,5;"SECTORES DISPERSOS"
24;10162999024;10162;"RICAURTE";239;6;42,95;"SECTORES DISPERSOS"
25;10162999025;10162;"RICAURTE";207;7;30,62;"SECTORES DISPERSOS"
26;10162999026;10162;"RICAURTE";255;8;31,69;"SECTORES DISPERSOS"
27;10162999027;10162;"RICAURTE";190;11;17,74;"SECTORES DISPERSOS"
28;10162999028;10162;"RICAURTE";220;21;10,27;"SECTORES DISPERSOS"
29;10162999029;10162;"RICAURTE";256;18;13,87;"SECTORES DISPERSOS"
30;10162999030;10162;"RICAURTE";318;38;8,31;"SECTORES DISPERSOS"
31;10162999031;10162;"RICAURTE";265;22;11,84;"SECTORES DISPERSOS"
32;10162999032;10162;"RICAURTE";256;25;10,3;"SECTORES DISPERSOS"
33;10162999033;10162;"RICAURTE";244;19;13,17;"SECTORES DISPERSOS"
34;10162999034;10162;"RICAURTE";386;49;7,84;"SECTORES DISPERSOS"
35;10162999035;10162;"RICAURTE";320;18;17,38;"SECTORES DISPERSOS"
36;10162999036;10162;"RICAURTE";278;12;22,32;"SECTORES DISPERSOS"
37;10162999037;10162;"RICAURTE";318;38;8,34;"SECTORES DISPERSOS"
38;10162999038;10162;"RICAURTE";282;21;13,34;"SECTORES DISPERSOS"
39;10162999039;10162;"RICAURTE";285;9;30,22;"SECTORES DISPERSOS"
40;10162999040;10162;"RICAURTE";204;13;15,94;"SECTORES DISPERSOS"
41;10162999041;10162;"RICAURTE";317;27;11,58;"SECTORES DISPERSOS"
42;10162999042;10162;"RICAURTE";172;26;6,52;"SECTORES DISPERSOS"
43;10162999043;10162;"RICAURTE";231;21;11,06;"SECTORES DISPERSOS"
44;10162999044;10162;"RICAURTE";398;8;51,51;"SECTORES DISPERSOS"
45;10162999045;10162;"RICAURTE";221;12;18,31;"SECTORES DISPERSOS"
46;10162999046;10162;"RICAURTE";426;27;15,77;"SECTORES DISPERSOS"
47;10162999047;10162;"RICAURTE";224;17;13,32;"SECTORES DISPERSOS"
48;10162999048;10162;"RICAURTE";297;14;21,68;"SECTORES DISPERSOS"
49;10162999049;10162;"RICAURTE";323;10;31,49;"SECTORES DISPERSOS"
50;10162999050;10162;"RICAURTE";254;12;21,45;"SECTORES DISPERSOS"
51;10162999051;10162;"RICAURTE";286;7;39,95;"SECTORES DISPERSOS"
52;10162999052;10162;"RICAURTE";312;19;16,13;"SECTORES DISPERSOS"
53;10162999053;10162;"RICAURTE";204;12;16,8;"SECTORES DISPERSOS"
1;10162001001;10162;"RICAURTE";371;16;22,96;"SECTORES AMANZADOS"
2;10162001002;10162;"RICAURTE";300;25;12,18;"SECTORES AMANZADOS"
3;10162001003;10162;"RICAURTE";338;3;115,28;"SECTORES AMANZADOS"
4;10162001004;10162;"RICAURTE";426;9;48,64;"SECTORES AMANZADOS"
5;10162001005;10162;"RICAURTE";254;8;33,83;"SECTORES AMANZADOS"
6;10162001006;10162;"RICAURTE";644;19;34,4;"SECTORES AMANZADOS"
7;10162001007;10162;"RICAURTE";271;6;42,2;"SECTORES AMANZADOS"
8;10162002001;10162;"RICAURTE";283;8;35,51;"SECTORES AMANZADOS"
9;10162002002;10162;"RICAURTE";410;18;22,26;"SECTORES AMANZADOS"
10;10162002003;10162;"RICAURTE";358;6;59,93;"SECTORES AMANZADOS"
11;10162002004;10162;"RICAURTE";308;3;89,29;"SECTORES AMANZADOS"
12;10162002005;10162;"RICAURTE";330;4;77,04;"SECTORES AMANZADOS"
13;10162002006;10162;"RICAURTE";326;6;50,75;"SECTORES AMANZADOS"
14;10162002007;10162;"RICAURTE";535;13;41,84;"SECTORES AMANZADOS"
15;10162002008;10162;"RICAURTE";286;10;28,77;"SECTORES AMANZADOS"
16;10162003001;10162;"RICAURTE";312;4;88,14;"SECTORES AMANZADOS"
17;10162003002;10162;"RICAURTE";157;2;76,51;"SECTORES AMANZADOS"
18;10162003003;10162;"RICAURTE";233;3;67,75;"SECTORES AMANZADOS"
19;10162003004;10162;"RICAURTE";247;4;69,19;"SECTORES AMANZADOS"
20;10162003005;10162;"RICAURTE";255;3;81,76;"SECTORES AMANZADOS"
21;10162003006;10162;"RICAURTE";364;6;62,69;"SECTORES AMANZADOS"
22;10162003007;10162;"RICAURTE";392;6;67,89;"SECTORES AMANZADOS"
23;10162003008;10162;"RICAURTE";330;8;43,7;"SECTORES AMANZADOS"
24;10162004001;10162;"RICAURTE";326;8;38,98;"SECTORES AMANZADOS"
25;10162004002;10162;"RICAURTE";280;8;35,58;"SECTORES AMANZADOS"
26;10162004003;10162;"RICAURTE";286;5;52,26;"SECTORES AMANZADOS"
27;10162004004;10162;"RICAURTE";420;5;82,43;"SECTORES AMANZADOS"
28;10162004005;10162;"RICAURTE";751;12;62,37;"SECTORES AMANZADOS"
29;10162004006;10162;"RICAURTE";407;9;47,72;"SECTORES AMANZADOS"
30;10162004007;10162;"RICAURTE";408;7;60,38;"SECTORES AMANZADOS"
31;10162005001;10162;"RICAURTE";590;17;33,87;"SECTORES AMANZADOS"
32;10162005002;10162;"RICAURTE";334;5;61,1;"SECTORES AMANZADOS"
33;10162005003;10162;"RICAURTE";221;8;26,19;"SECTORES AMANZADOS"
34;10162005004;10162;"RICAURTE";426;8;51,8;"SECTORES AMANZADOS"
35;10162005005;10162;"RICAURTE";357;10;34,13;"SECTORES AMANZADOS"
36;10162005006;10162;"RICAURTE";409;11;37,92;"SECTORES AMANZADOS"
37;10162005007;10162;"RICAURTE";433;4;98,94;"SECTORES AMANZADOS"
