Provincia;Identificador_Canton;Identificador_Parroquia;Zona;Sector;Numero_vivienda;Numero_hogar;Numero_persona_emigrante;Año_salida;Sexo_emigrante;Edad_salida;pais_actual_residencia;Area_urbana_o_rural;CANTON;PARROQ;ID_VIV;ID_HOG;ID_EMI
"Azuay";1;62;999;1;8;1;1;2021;"Hombre";999;881840;"Area rural";"Cuenca";"Ricaurte";101629990010008;10162999001000801;1016299900100080101
"Azuay";1;62;999;1;17;1;1;2021;"Hombre";23;881840;"Area rural";"Cuenca";"Ricaurte";101629990010017;10162999001001701;1016299900100170101
"Azuay";1;62;999;2;21;1;1;2021;"Hombre";27;881840;"Area rural";"Cuenca";"Ricaurte";101629990020021;10162999002002101;1016299900200210101
"Azuay";1;62;999;2;32;1;1;2021;"Hombre";21;881840;"Area rural";"Cuenca";"Ricaurte";101629990020032;10162999002003201;1016299900200320101
"Azuay";1;62;999;2;35;1;1;2021;"Hombre";33;881840;"Area rural";"Cuenca";"Ricaurte";101629990020035;10162999002003501;1016299900200350101
"Azuay";1;62;999;2;38;1;1;2021;"Hombre";19;881840;"Area rural";"Cuenca";"Ricaurte";101629990020038;10162999002003801;1016299900200380101
"Azuay";1;62;999;2;39;1;1;2021;"Hombre";28;881840;"Area rural";"Cuenca";"Ricaurte";101629990020039;10162999002003901;1016299900200390101
"Azuay";1;62;999;3;25;1;1;2021;"Hombre";25;881840;"Area rural";"Cuenca";"Ricaurte";101629990030025;10162999003002501;1016299900300250101
"Azuay";1;62;999;3;100;1;1;2021;"Hombre";19;881840;"Area rural";"Cuenca";"Ricaurte";101629990030100;10162999003010001;1016299900301000101
"Azuay";1;62;999;3;115;1;1;2021;"Hombre";40;881840;"Area rural";"Cuenca";"Ricaurte";101629990030115;10162999003011501;1016299900301150101
"Azuay";1;62;999;4;5;1;1;2021;"Hombre";34;881840;"Area rural";"Cuenca";"Ricaurte";101629990040005;10162999004000501;1016299900400050101
"Azuay";1;62;999;5;27;1;1;2021;"Hombre";40;881840;"Area rural";"Cuenca";"Ricaurte";101629990050027;10162999005002701;1016299900500270101
"Azuay";1;62;999;5;58;1;1;2021;"Hombre";25;881840;"Area rural";"Cuenca";"Ricaurte";101629990050058;10162999005005801;1016299900500580101
"Azuay";1;62;999;5;94;1;1;2021;"Hombre";19;881840;"Area rural";"Cuenca";"Ricaurte";101629990050094;10162999005009401;1016299900500940101
"Azuay";1;62;999;6;35;1;1;2021;"Hombre";22;881840;"Area rural";"Cuenca";"Ricaurte";101629990060035;10162999006003501;1016299900600350101
"Azuay";1;62;999;7;6;1;1;2021;"Mujer";25;881840;"Area rural";"Cuenca";"Ricaurte";101629990070006;10162999007000601;1016299900700060101
"Azuay";1;62;999;7;21;1;1;2021;"Hombre";33;881840;"Area rural";"Cuenca";"Ricaurte";101629990070021;10162999007002101;1016299900700210101
"Azuay";1;62;999;7;71;1;1;2021;"Hombre";20;881840;"Area rural";"Cuenca";"Ricaurte";101629990070071;10162999007007101;1016299900700710101
"Azuay";1;62;999;9;20;1;1;2021;"Hombre";20;881840;"Area rural";"Cuenca";"Ricaurte";101629990090020;10162999009002001;1016299900900200101
"Azuay";1;62;999;9;89;1;1;2021;"Hombre";17;881840;"Area rural";"Cuenca";"Ricaurte";101629990090089;10162999009008901;1016299900900890101
"Azuay";1;62;999;12;49;1;1;2021;"Hombre";23;881840;"Area rural";"Cuenca";"Ricaurte";101629990120049;10162999012004901;1016299901200490101
"Azuay";1;62;999;13;9;1;1;2021;"Hombre";31;881840;"Area rural";"Cuenca";"Ricaurte";101629990130009;10162999013000901;1016299901300090101
"Azuay";1;62;999;14;27;1;1;2021;"Hombre";33;881840;"Area rural";"Cuenca";"Ricaurte";101629990140027;10162999014002701;1016299901400270101
"Azuay";1;62;999;15;4;1;1;2021;"Hombre";35;881840;"Area rural";"Cuenca";"Ricaurte";101629990150004;10162999015000401;1016299901500040101
"Azuay";1;62;999;15;48;1;1;2021;"Hombre";34;881840;"Area rural";"Cuenca";"Ricaurte";101629990150048;10162999015004801;1016299901500480101
"Azuay";1;62;999;15;54;1;1;2021;"Mujer";26;881840;"Area rural";"Cuenca";"Ricaurte";101629990150054;10162999015005401;1016299901500540101
"Azuay";1;62;999;16;25;1;1;2021;"Mujer";33;881840;"Area rural";"Cuenca";"Ricaurte";101629990160025;10162999016002501;1016299901600250101
"Azuay";1;62;999;16;41;1;1;2021;"Hombre";25;881840;"Area rural";"Cuenca";"Ricaurte";101629990160041;10162999016004101;1016299901600410101
"Azuay";1;62;999;17;29;1;1;2021;"Hombre";39;881840;"Area rural";"Cuenca";"Ricaurte";101629990170029;10162999017002901;1016299901700290101
"Azuay";1;62;999;17;56;1;1;2021;"Hombre";22;881840;"Area rural";"Cuenca";"Ricaurte";101629990170056;10162999017005601;1016299901700560101
"Azuay";1;62;999;17;76;1;1;2021;"Hombre";33;881840;"Area rural";"Cuenca";"Ricaurte";101629990170076;10162999017007601;1016299901700760101
"Azuay";1;62;999;18;1;1;1;2021;"Hombre";28;881840;"Area rural";"Cuenca";"Ricaurte";101629990180001;10162999018000101;1016299901800010101
"Azuay";1;62;999;18;10;1;1;2021;"Mujer";28;881840;"Area rural";"Cuenca";"Ricaurte";101629990180010;10162999018001001;1016299901800100101
"Azuay";1;62;999;18;40;1;1;2021;"Mujer";20;881840;"Area rural";"Cuenca";"Ricaurte";101629990180040;10162999018004001;1016299901800400101
"Azuay";1;62;999;18;49;1;1;2021;"Mujer";999;881840;"Area rural";"Cuenca";"Ricaurte";101629990180049;10162999018004901;1016299901800490101
"Azuay";1;62;999;19;61;1;1;2021;"Hombre";999;881840;"Area rural";"Cuenca";"Ricaurte";101629990190061;10162999019006101;1016299901900610101
"Azuay";1;62;999;19;76;1;1;2021;"Mujer";32;881840;"Area rural";"Cuenca";"Ricaurte";101629990190076;10162999019007601;1016299901900760101
