Provincia;Identificador_Canton;Identificador_Parroquia;Zona;Sector;Numero_vivienda;Numero_hogar;Numero_dormitorios;Cuarto_espacio_exclusivo_para_cocinar;Disponibilidad_servicio_higiénico_inodoro_escusado;Disponibilidad_espacio_con_instalaciones_o_ducha_para_bañarse;Principal_combustible_o_energía_para_cocinar;Agua_que_beben_los_miembros_hogar;Acostumbra_separar_la_basura_orgánica_e_inorgánica;Acostumbra_separar_desperdicios_para_dar_a_los_animales_plantas;Acostumbra_separar_papel_cartón_plástico_o_vidrio_para_vender_regalar_reutilizar;Tiene_este_hogar_perros;Número_perros;Tiene_este_hogar_gatos;Número_gatos;Tenencia_propiedad_de_la_vivienda;Dispone_servicio_de_teléfono_convencional;Dispone_servicio_de_teléfono_celular;Dispone_servicio_de_televisión_pagada;Dispone_servicio_de_internet_fijo;Dispone_computadora;Dispone_refrigeradora;Dispone_máquina_lavadora_de_ropa;Dispone_máquina_secadora_de_ropa;Dispone_horno_microondas;Dispone_máquina_extractora_de_olores;Dispone_automóvil_o_camioneta_para_uso_exclusivo;Dispone_motocicleta_para_uso_exclusivo;Alguna_persona_falleció_en_los_últimos_tres_años(enero_2020);Número_personas_fallecidas;Alguna_persona_viajó_a_otro_país_y_todavía_no_regresa(nov._2010);Numero_personas_emigrantes;Total_hombres_en_el_hogar;Total_mujeres_en_el_hogar;Total_personas_en_el_hogar;Existe_alguna_persona_que_no_haya_sido_mencionada_en_el_hogar;Area_urbana_o_rural;CANTON;PARROQ;ID_VIV;ID_HOG;Numero_dormitorios(recodificada);Registro_imputado_en_vivienda_ocupada_con_personas_ausentes;TipoPareja;TipoDeHogar
"Azuay";1;62;1;1;110;1;2;"Si";"De uso exclusivo del hogar";"De uso exclusivo del hogar";"Gas de tanque o cilindro";"La beben, tal como llega al hogar";"No";"Si";"No";"No";;"No";;"Arrendada/anticresis";"No";"Si";"Si";"Si";"Si";"Si";"Si";"No";"No";"No";"Si";"No";"No";;"No";;1;3;4;"No";"Area Rural";"Cuenca";"Ricaurte";101620010010110;10162001001011001;"Dos dormitorios";"No";"Pareja de hombre y mujer";"Nuclear"
"Azuay";1;62;1;2;15;1;2;"Si";"De uso exclusivo del hogar";"De uso exclusivo del hogar";"Gas de tanque o cilindro";"La beben, tal como llega al hogar";"No";"Si";"Si";"No";;"No";;"Propia y totalmente pagada";"Si";"Si";"No";"Si";"Si";"Si";"No";"No";"No";"No";"Si";"No";"No";;"No";;2;3;5;"No";"Area Rural";"Cuenca";"Ricaurte";101620010020015;10162001002001501;"Dos dormitorios";"No";"Pareja de hombre y mujer";"Nuclear"
"Azuay";1;62;1;2;33;1;2;"Si";"De uso exclusivo del hogar";"De uso exclusivo del hogar";"Gas de tanque o cilindro";"La beben, tal como llega al hogar";"Si";"No";"No";"No";;"No";;"Propia(regala,donada,heredada o por posesion)";"Si";"Si";"No";"Si";"No";"Si";"No";"No";"No";"No";"No";"No";"No";;"No";;1;2;3;"No";"Area Rural";"Cuenca";"Ricaurte";101620010020033;10162001002003301;"Dos dormitorios";"No";"";"Nuclear"
"Azuay";1;62;1;3;48;1;2;"Si";"De uso exclusivo del hogar";"De uso exclusivo del hogar";"Gas de tanque o cilindro";"La beben, tal como llega al hogar";"No";"Si";"No";"No";;"No";;"Arrendada/anticresis";"No";"Si";"No";"Si";"Si";"Si";"Si";"No";"No";"No";"Si";"No";"No";;"No";;4;1;5;"No";"Area Rural";"Cuenca";"Ricaurte";101620010030048;10162001003004801;"Dos dormitorios";"No";"Pareja de hombre y mujer";"Nuclear"
"Azuay";1;62;1;3;49;1;2;"Si";"De uso exclusivo del hogar";"De uso exclusivo del hogar";"Gas de tanque o cilindro";"La beben, tal como llega al hogar";"Si";"Si";"Si";"No";;"No";;"Propia y totalmente pagada";"Si";"Si";"No";"Si";"No";"Si";"Si";"No";"No";"No";"Si";"No";"No";;"No";;2;1;3;"No";"Area Rural";"Cuenca";"Ricaurte";101620010030049;10162001003004901;"Dos dormitorios";"No";"Pareja de hombre y mujer";"Nuclear"
"Azuay";1;62;1;3;68;1;2;"Si";"De uso exclusivo del hogar";"De uso exclusivo del hogar";"Gas de tanque o cilindro";"La beben, tal como llega al hogar";"No";"Si";"No";"No";;"No";;"Arrendada/anticresis";"No";"Si";"No";"Si";"No";"Si";"Si";"No";"No";"No";"No";"No";"No";;"No";;1;2;3;"No";"Area Rural";"Cuenca";"Ricaurte";101620010030068;10162001003006801;"Dos dormitorios";"No";"Pareja de hombre y mujer";"Nuclear"
"Azuay";1;62;1;4;23;1;2;"Si";"De uso exclusivo del hogar";"De uso exclusivo del hogar";"Gas de tanque o cilindro";"La beben, tal como llega al hogar";"Si";"Si";"Si";"No";;"No";;"Propia y la esta pagando";"Si";"Si";"No";"Si";"Si";"Si";"Si";"No";"No";"No";"No";"No";"No";;"No";;1;0;1;"No";"Area Rural";"Cuenca";"Ricaurte";101620010040023;10162001004002301;"Dos dormitorios";"No";"";"Unipersonal"
"Azuay";1;62;1;4;124;1;2;"Si";"De uso exclusivo del hogar";"De uso exclusivo del hogar";"Gas de tanque o cilindro";"La beben, tal como llega al hogar";"No";"No";"No";"No";;"No";;"Propia y totalmente pagada";"Si";"Si";"Si";"Si";"Si";"Si";"No";"No";"No";"No";"No";"No";"No";;"No";;1;2;3;"No";"Area Rural";"Cuenca";"Ricaurte";101620010040124;10162001004012401;"Dos dormitorios";"No";"Pareja de hombre y mujer";"Nuclear"
"Azuay";1;62;1;5;12;1;2;"Si";"De uso exclusivo del hogar";"De uso exclusivo del hogar";"Gas de tanque o cilindro";"La beben, tal como llega al hogar";"Si";"Si";"Si";"No";;"No";;"Propia y la esta pagando";"No";"Si";"No";"Si";"Si";"Si";"Si";"No";"No";"No";"Si";"No";"No";;"No";;3;1;4;"No";"Area Rural";"Cuenca";"Ricaurte";101620010050012;10162001005001201;"Dos dormitorios";"No";"Pareja de hombre y mujer";"Nuclear"
"Azuay";1;62;1;5;15;1;2;"Si";"De uso exclusivo del hogar";"De uso exclusivo del hogar";"Gas de tanque o cilindro";"La beben, tal como llega al hogar";"Si";"No";"Si";"No";;"No";;"Arrendada/anticresis";"Si";"Si";"No";"Si";"Si";"Si";"Si";"No";"Si";"No";"Si";"No";"No";;"No";;0;2;2;"No";"Area Rural";"Cuenca";"Ricaurte";101620010050015;10162001005001501;"Dos dormitorios";"No";"";"Nuclear"
