Provincia;Identificador_Canton;Identificador_Parroquia;Zona;Sector;Numero_vivienda;Tipo_via;Tipo_vivienda;Condicion_ocupacion_vivienda_particular;Condicion_ocupacion_vivienda_colectiva;Material_predominante_techo_o_cubierta;Estado_techo_o_cubierta;Material_predominante_paredes_exteriores;Estado_paredes_exteriores;Material_predominante_piso;Estado_piso;El_agua_que_recibe_la_vivienda_es;El_agua_que_recibe_la_vivienda_proviene_o_es_suministrada_por;El_servicio_higienico_de_la_vivienda_es;Disponibilidad_de_energia_electrica_por_red_publica;Disponibilidad_de_otra_fuente_de_energia_electrica;Eliminacion_de_la_basura;Numero_cuartos;Todas_las_personas_comparten_un_mismo_gasto_para_la_alimentacion;Numero_hogares;Area_urbana_o_rural;CANTON;PARROQ;ID_VIV;Total_fallecidos_de_la_vivienda;Total_emigrantes_de_la_vivienda;Total_personas_de_la_vivienda;Condicion_ocupacion_de_la_vivienda_particular(recodificada);Numero_cuartos(recodificada);Registro_imputado_en_vivienda_ocupada_con_personas_ausentes
"Azuay";1;62;1;1;12;"Calle";"Casa/villa";"Ocupada con personas presentes";"";"Fibrocemento, asbesto (eternit, eurolit)";"Bueno";"Ladrillo o bloque";"Bueno";"Cerámica, baldosa, vinil o porcelanato";"Bueno";"Por tubería, dentro de la vivienda";"Empresa Pública/Municipio";"Inodoro o escusado, conectado a red pública de alcantarillado";"Si";"No dispone";"Por carro recolector";4;"Si";1;"rural";"Cuenca";"Ricaurte";101620010010012;0;0;5;"Ocupada";"Cuatro cuartos";"No"
"Azuay";1;62;1;1;36;"Calle";"Casa/villa";"Ocupada con personas presentes";"";"Fibrocemento, asbesto (eternit, eurolit)";"Bueno";"Ladrillo o bloque";"Bueno";"Cerámica, baldosa, vinil o porcelanato";"Bueno";"Por tubería, dentro de la vivienda";"Empresa Pública/Municipio";"Inodoro o escusado, conectado a red pública de alcantarillado";"Si";"No dispone";"Por carro recolector";4;"Si";1;"rural";"Cuenca";"Ricaurte";101620010010036;0;0;1;"Ocupada";"Cuatro cuartos";"No"
"Azuay";1;62;1;1;38;"Calle";"Casa/villa";"Ocupada con personas presentes";"";"Fibrocemento, asbesto (eternit, eurolit)";"Bueno";"Ladrillo o bloque";"Bueno";"Cerámica, baldosa, vinil o porcelanato";"Bueno";"Por tubería, dentro de la vivienda";"Empresa Pública/Municipio";"Inodoro o escusado, conectado a red pública de alcantarillado";"Si";"No dispone";"Por carro recolector";4;"Si";1;"rural";"Cuenca";"Ricaurte";101620010010038;0;0;4;"Ocupada";"Cuatro cuartos";"No"
"Azuay";1;62;1;1;41;"Calle";"Casa/villa";"Ocupada con personas presentes";"";"Fibrocemento, asbesto (eternit, eurolit)";"Bueno";"Ladrillo o bloque";"Bueno";"Cerámica, baldosa, vinil o porcelanato";"Bueno";"Por tubería, dentro de la vivienda";"Empresa Pública/Municipio";"Inodoro o escusado, conectado a red pública de alcantarillado";"Si";"No dispone";"Por carro recolector";4;"Si";1;"rural";"Cuenca";"Ricaurte";101620010010041;0;0;3;"Ocupada";"Cuatro cuartos";"No"
"Azuay";1;62;1;1;80;"Calle";"Casa/villa";"Ocupada con personas presentes";"";"Fibrocemento, asbesto (eternit, eurolit)";"Bueno";"Ladrillo o bloque";"Bueno";"Cerámica, baldosa, vinil o porcelanato";"Bueno";"Por tubería, dentro de la vivienda";"Empresa Pública/Municipio";"Inodoro o escusado, conectado a red pública de alcantarillado";"Si";"No dispone";"Por carro recolector";4;"Si";1;"rural";"Cuenca";"Ricaurte";101620010010080;0;0;5;"Ocupada";"Cuatro cuartos";"No"
"Azuay";1;62;1;1;99;"Calle";"Casa/villa";"Ocupada con personas presentes";"";"Fibrocemento, asbesto (eternit, eurolit)";"Bueno";"Ladrillo o bloque";"Bueno";"Cerámica, baldosa, vinil o porcelanato";"Bueno";"Por tubería, dentro de la vivienda";"Empresa Pública/Municipio";"Inodoro o escusado, conectado a red pública de alcantarillado";"Si";"No dispone";"Por carro recolector";4;"Si";1;"rural";"Cuenca";"Ricaurte";101620010010099;0;0;1;"Ocupada";"Cuatro cuartos";"No"
"Azuay";1;62;1;1;125;"Calle";"Casa/villa";"Ocupada con personas presentes";"";"Fibrocemento, asbesto (eternit, eurolit)";"Bueno";"Ladrillo o bloque";"Bueno";"Cerámica, baldosa, vinil o porcelanato";"Bueno";"Por tubería, dentro de la vivienda";"Empresa Pública/Municipio";"Inodoro o escusado, conectado a red pública de alcantarillado";"Si";"No dispone";"Por carro recolector";4;"Si";1;"rural";"Cuenca";"Ricaurte";101620010010125;0;0;5;"Ocupada";"Cuatro cuartos";"No"
"Azuay";1;62;1;3;23;"Calle";"Casa/villa";"Ocupada con personas presentes";"";"Fibrocemento, asbesto (eternit, eurolit)";"Bueno";"Ladrillo o bloque";"Bueno";"Cerámica, baldosa, vinil o porcelanato";"Bueno";"Por tubería, dentro de la vivienda";"Empresa Pública/Municipio";"Inodoro o escusado, conectado a red pública de alcantarillado";"Si";"No dispone";"Por carro recolector";4;"Si";1;"rural";"Cuenca";"Ricaurte";101620010030023;0;0;3;"Ocupada";"Cuatro cuartos";"No"
"Azuay";1;62;1;4;14;"Calle";"Casa/villa";"Ocupada con personas presentes";"";"Fibrocemento, asbesto (eternit, eurolit)";"Bueno";"Ladrillo o bloque";"Bueno";"Cerámica, baldosa, vinil o porcelanato";"Bueno";"Por tubería, dentro de la vivienda";"Empresa Pública/Municipio";"Inodoro o escusado, conectado a red pública de alcantarillado";"Si";"No dispone";"Por carro recolector";4;"Si";1;"rural";"Cuenca";"Ricaurte";101620010040014;0;0;2;"Ocupada";"Cuatro cuartos";"No"
"Azuay";1;62;1;4;75;"Calle";"Casa/villa";"Ocupada con personas presentes";"";"Fibrocemento, asbesto (eternit, eurolit)";"Bueno";"Ladrillo o bloque";"Bueno";"Cerámica, baldosa, vinil o porcelanato";"Bueno";"Por tubería, dentro de la vivienda";"Empresa Pública/Municipio";"Inodoro o escusado, conectado a red pública de alcantarillado";"Si";"No dispone";"Por carro recolector";4;"Si";1;"rural";"Cuenca";"Ricaurte";101620010040075;0;0;4;"Ocupada";"Cuatro cuartos";"No"
