NOMBRE;BARRIO;TIPO;TIPO DE ESTABLECIMIENTO;ADMINISTRACIÓN;TENENCIA DEL LOCAL;JORNADA;NIVEL;Numero
"CENTRO DE EDUCACIÓN INICIAL ALBERTO ASTUDILLO MONTESINOS";"CENTRO PARROQUIAL";"EDUCATIVO";"ESTATAL";"FISCAL";"PROPIO";"MATUTINO/VESPERTINO";"EDUCACIÓN INICIAL";"3"
"COLEGIO DE BACHILLERATO RICAURTE";"CENTRO PARROQUIAL";"EDUCATIVO";"ESTATAL";"FISCAL";"N/A";"MATUTINO/VESPERTINO";"SECUNDARIO";"3"
"ESCUELA DE EDUCACIÓN BÁSICA A CHICO";"ISAAC CHICO";"EDUCATIVO";"ESTATAL";"FISCAL";"PROPIO";"MATUTINO/VESPERTINO";"INICIAL Y EGB";"14"
"ESCUELA DE EDUCACION BASICA ESTADOS UNIDOS DE NORTE AMERICA";"CENTRO PARROQUIAL";"EDUCATIVO";"ESTATAL";"FISCAL";"PROPIO";"MATUTINO, VESPERTINO Y NOCTURNO";"INICIAL Y EGB";"3"
"ESCUELA HNO. ENRIQUE VÁSQUEZ PACHECO";"MOLINOPAMBA BAJO";"EDUCATIVO";"ESTATAL";"FISCAL";"PROPIO";"MATUTINO";"INICIAL Y EGB";"28"
"ESCUELA DE EDUCACIÓN BÁSICA MANUEL MARÍA PALACIOS BRAVO";"LA DOLOROSA";"EDUCATIVO";"PÚBLICO";"FISCAL";"PROPIO";"MATUTINO";"INICIAL Y EGB";"17"
"ESCUELA DE EDUCACIÓN BÁSICA VICENTE LEÓN PICON";"SAN MIGUEL";"EDUCATIVO";"PÚBLICO";"FISCAL";"PROPIO";"MATUTINO";"EDUCACIÓN BÁSICA";"35"
"DIRECTORA DE LA ESCUELA DE EDUCACION BASICA FEDERICO MALO";"HUAJIBAMBA CHICO";"EDUCATIVO";"PÚBLICO";"FISCAL";"PROPIO";"MATUTINO Y VESPERTINO";"INICIAL Y EGB";"12"
"CENTRO DE EDUCACIÓN ABC SUEÑOS MÁGICOS";"CENTRO PARROQUIAL";"EDUCATIVO";"PRIVADO";"PRIVADO";"PROPIO";"MATUTINO";"INICIAL";"3"
"UNIDAD EDUCATIVA PARTICULAR BUENA ESPERANZA";"CENTRO PARROQUIAL";"EDUCATIVO";"PRIVADO";"PRIVADA";"PROPIO";"MATUTINO";"INICIAL, BÁSICA Y SECUNDARIA";"3"
"UNIDAD EDUCATIVA PARTICULAR ROSA DE JESÚS CORDERO";"ISAAC CHICO";"EDUCATIVO";"PRIVADO";"PRIVADA";"PROPIO";"MATUTINO";"INICIAL, BÁSICA Y SECUNDARIA";"14"
"UNIDAD EDUCATIVA SANTIAGO DE COMPOSTELA";"LA FLORIDA";"EDUCATIVO";"PRIVADO";"PRIVADA";"ARRENDADO";"MATUTINO";"INICIAL, EDUCACIÓN BÁSICA Y BACHILLERATO";"18"
"UNIDAD EDUCATIVA PARTICULAR SUDAMERICANO";"LA UNION";"EDUCATIVO";"PRIVADO";"PRIVADA";"PROPIO";"MATUTINO";"INICIAL, EDUCACIÓN BÁSICA Y BACHILLERATO";"20"
"UNIDAD EDUCATIVA UNITEC DISCOVERY";"MOLINOPAMBA ALTO";"EDUCATIVO";"PRIVADO";"FISCAL";"PROPIO";"MATUTINO";"EDUCACIÓN BÁSICA Y BACHILLERATO";"27"
"UNIDAD EDUCATIVA SAN FRANCISCO DE SALES";"MOLINOPAMBA ALTO";"EDUCATIVO";"PRIVADO";"PRIVADA";"PROPIO";"MATUTINO";"INICIAL, EDUCACIÓN BÁSICA Y BACHILLERATO";"27"
