NOMBRE,BARRIO,TIPO,ESTADO,Numero,Lat,Lon
CANCHA VIRGEN DE LA NUBE,VIRGEN DE LA NUBE,ESPACIO PÚBLICO,BUENO,40,-2.871116799635922,-78.97909863987067
CANCHA BARRIO LOS ÁNGELES,LOS ANGELES,ESPACIO PÚBLICO,BUENO,22,-2.879963266482313,-78.98314472332451
CANCHA BARRIO EL ARENAL,EL ARENAL,ESPACIO PÚBLICO,BUENO,6,-2.877520940964158,-78.98391758421945
CANCHA BARRIO SAN MIGUEL,SAN MIGUEL,ESPACIO PÚBLICO,BUENO,35,-2.887687632098414,-78.98165955577952
PARQUE BARRIO SAN MARTIN,SAN MARTIN,ESPACIO PÚBLICO,REGULAR,34,-2.8836542903635936,-78.97637398468414
PARQUE BARRIO MIGUEL CORDERO,MIGUEL CORDERO,ESPACIO PÚBLICO,BUENO,26,-2.8817034757609274,-78.9724908631641
CANCHA,HUAJIBAMBA LA MERCED,ESPACIO PÚBLICO,BUENO,13,-2.8726738168423327,-78.97979155325045
PARQUE BUENA ESPERANZA,LA UNION,ESPACIO PÚBLICO,BUENO,20,-2.8849908926920698,-78.97661372434077
PARQUE LA DOLOROSA DE MACHÁNGARA,LA DOLOROSA,ESPACIO PÚBLICO,MALO,17,-2.880339314714746,-78.97828126894876
PARQUE SEÑOR DE BURGOS,SEÑOR DE BURGOS,ESPACIO PÚBLICO,BUENO,38,-2.8702888042877857,-78.9775019299581
PARQUE CENTRAL DE RICAURTE,CENTRO PARROQUIAL,ESPACIO PÚBLICO,BUENO,3,-2.879610297614804,-78.97650621898025
PARQUE CIBV,CENTRO PARROQUIAL,ESPACIO PÚBLICO,BUENO,3,-2.8777421094847404,-78.9731531512476
PARQUE SAN FRANCISCO,SAN FRANCISCO,ESPACIO PÚBLICO,REGULAR,31,-2.8875874266801933,-78.98833610023335
SIMÓN BOLÍVAR,SIMÓN BOLIVAR,ESPACIO PÚBLICO,BUENO,39,-2.873473183989863,-78.97472634317114
ESTADIO RICAURTE,SEÑOR DE BURGOS,ESPACIO PÚBLICO,REGULAR,38,-2.8779387974317814,-78.98512667250927
